Competition,,Matchday,Date,Venue,For,,Result,Pos.,Minute,At score,Type of goal,Goal assist
,,,,,,,,,71',0:4,Right-footed shot,Dejan Kulusevski
,Premier League,35,5/1/22,H,,Leicester (9.),3:1,LW,60',2:0,Left-footed shot,Dejan Kulusevski
,,,,,,,,,79',3:0,Left-footed shot,Dejan Kulusevski
,Premier League,36,5/7/22,A,,Liverpool (2.),1:1,LW,56',0:1,Left-footed shot,Ryan Sessegnon
,Premier League,22,5/12/22,H,,Arsenal (5.),3:0,LW,47',3:0,Right-footed shot,
,Premier League,38,5/22/22,A,,Norwich (20.),0:5,AM,70',0:4,Right-footed shot,Lucas Moura
,,,,,,,,,75',0:5,Right-footed shot,
Season 22/23,,,,,,,,,,,,
,Premier League,8,9/17/22,H,,Leicester (20.),6:2,LW,73',4:2,Long distance kick,Rodrigo Bentancur
,,,,,,,,,84',5:2,Left-footed shot,Harry Kane
,,,,,,,,,86',6:2,Counter attack goal,Pierre-Emile Højbjerg
,Champions League,Group Stage,10/12/22,H,,E. Frankfurt,3:2,LW,20',1:1,Right-footed shot,Harry Kane
,,,,,,,,,36',3:1,Left-footed shot,Pierre-Emile Højbjerg
,Premier League,19,1/4/23,A,,Crystal Palace (12.),0:4,LW,72',0:4,Left-footed shot,
,FA Cup,Fourth Round,1/28/23,A,,Preston,0:3,LW,50',0:1,Left-footed shot,Japhet Tanganga
,,,,,,,,,69',0:2,Left-footed shot,Ivan Perisic
,Premier League,24,2/19/23,H,,West Ham (17.),2:0,,72',2:0,Right-footed shot,Harry Kane
,Premier League,27,3/11/23,H,,Nottm Forest (14.),3:1,AM,62',3:0,Left-footed shot,Richarlison
,Premier League,30,4/8/23,H,,Brighton (6.),2:1,AM,10',1:0,Right-footed shot,Ivan Perisic
,Premier League,31,4/15/23,H,,Bournemouth (15.),2:3,AM,14',1:0,Left-footed shot,Ivan Perisic
,Premier League,33,4/27/23,H,,Man Utd (4.),2:2,AM,79',2:2,Right-footed shot,Harry Kane
,Premier League,34,4/30/23,A,,Liverpool (5.),4:3,AM,77',3:2,Right-footed shot,Cristian Romero
